id,layer,capability,reference_system,reference_behavior,status,our_current,gap,priority,phase,suggested_modules,acceptance_criteria,depends_on,approach,notes
L1-01,macro-colour,Yarn indexmap / albedo assignment,FabricGen,Macro texture path assigns colour regions independent of draft,done,cells.idx from buildModel + generative indexmap,—,P0,done,src/pipeline/model.js;src/pipeline/generative.js,Indexmap exists for photo and generate; re-renders without source image,,—,Keep colour separate from lift plan
L1-02,macro-colour,Role taxonomy (ground/field/supplementary),AdaCAD;Albers,Roles drive different structural treatment,done,yarnRoles + DEFAULT_ASSIGN,—,P0,done,src/pipeline/structure.js,Every yarn has a role; shares sum ~1,,—,
L1-03,macro-colour,Style prior from existing textiles,FabricGen WeavingLLM params;AdaCAD saved ops,Reusable cloth behaviour / params from examples,done,fingerprint from saved configs; blendFingerprints,Richer spatial priors; motif transfer; multi-rug clustering,P1,done,src/pipeline/fingerprint.js,Fingerprint steers gauge+palette+assign measurably vs default,,Extend fingerprint with spatial histograms + run-length percentiles; bias generative indexmap; weighted blend across profileIds,roleGrid 8x8 + generative bias; blend majority vote
L1-04,macro-colour,Photo → yarn quantization,Image→jacquard dither research,Image analysis to discrete yarn set,done,Oklab cluster + markBias + PHOTO_MODES,—,P0,done,src/pipeline/transform.js;src/pipeline/model.js,PHOTO_MODES change analysis knobs; same buildModel path,,—,
L1-05,macro-colour,Motif / region editing UI,AdaCAD;FabricGen interactive,User edits colour regions after generation,partial,Readout + yarn swatches only,Brush/region recolour on indexmap; undo,P2,phase-2,src/tools/*;src/pipeline/cells.js,User can reassign yarn id in a selection and re-construct,L2-03,Selection tool reassigns cells.idx yarn ids; rebuild draft from assign; undo stack in Photo/Generate,reassignRegion helper + tests; full brush UI still open
L2-01,structure-draft,Named weave structures library,AdaCAD;On Weaving,Plain/twill/satin and variants as first-class ops,done,"5 structures: plain,twill,basket,weft5,satin8",Expand library (3/1 twill; leno stub; double-weave face select),P1,done,src/pipeline/structure.js,STRUCTURES has >=10 named lifts; each validates on sample gauge,,"Add pure lift fns to STRUCTURES (twill31/12, satin5, warpFloat4, basket4, lenoStub); unit-test validateDraft per structure","11 named STRUCTURES including twill31/12, satin5, basket4, warpFloat4, lenoStub"
L2-02,structure-draft,Role → structure assignment,AdaCAD dataflow,Parametric assign map,done,structure.assign per role,—,P0,done,src/pipeline/structure.js;buildDraft,Changing assign changes draft bits,,—,
L2-03,structure-draft,Draft validity (bind + float limits),AdaCAD;TexCel,Reject illegal drafts,done,validateDraft: flat rows/cols + max float,Auto-repair; per-structure float budgets; shaft-count limits,P1,done,src/pipeline/structure.js,Invalid drafts never saved without validity flag; repair optional,L2-01,"Extend validateDraft budgets; add repairDraft (force interlacement, break floats); call from materialize; flag on save",repairDraft + validateDraft budgets; buildDraft repairs by default
L2-04,structure-draft,Parametric draft operation chain,AdaCAD,"Composable ops: block, invert, stretch, layer",done,Single assign→lift materialization,Op graph: base structure + modulators (noise glitch; block; crop),P1,done,src/pipeline/draft-ops.js;DesignSpec.structurePlan,DesignSpec lists ops; same seed → identical draft,L2-03,New draft-ops.js op list on DesignSpec.structurePlan; runner fromStructure→modulators→validate/repair; deterministic by seed,draft-ops.js op runner on DesignSpec.structurePlan.ops
L2-05,structure-draft,Structure glitch from noise,generative_weaving (Gelosi),Perlin-perturb base weave still loom-valid,done,Indexmap noise only; appearance roughness,Draft-space glitch op + re-validate,P1,done,src/pipeline/draft-ops.js,Glitch changes draft; validateDraft.ok or repaired,L2-04,Implement as draft-ops glitch op (seeded bit flips + re-validate/repair); no separate draft path,glitch op via draft-ops; env wind / glitch density
L2-06,structure-draft,CA / generative structure search,TexCel,Search pattern space under constraints,none,—,Optional CA generator behind validity filter,P3,phase-3,src/pipeline/structure-ca.js,CA candidates filtered to ok drafts only,L2-03;L2-04,Optional CA generator emitting candidates filtered by validateDraft; expose as caSeed op,Low priority vs parametric ops
L2-07,structure-draft,Double / multi-layer weave,Albers;AdaCAD,Independent layers with face swap,none,Single binary draft,Layer stack + face selection in draft model,P2,phase-2,src/pipeline/structure.js;model schema,Config can store 2 layers; render picks face,L2-01;L2-04,Schema layers[2] + face index; buildDraft per layer; constructTapestry samples face,Align with Albers double-weave practice
L2-08,structure-draft,Interactive draft editor,AdaCAD UI,Click/toggle lifts; live preview,partial,Draft PNG export only,Grid editor + live constructTapestry,P2,phase-2,src/tools/DraftEditor.jsx,User toggles cell; model updates; validity badge,L2-04;L5-05,DraftEditor grid toggles bits; live constructTapestry; validity badge; write manualOverrides into DesignSpec,draft PNG/WIF export; grid editor UI still open
L2-09,structure-draft,Loom / TC2-class export,AdaCAD;jacquard pipelines,Export hoist plans for machine,done,Binary draft in memory + PNG,WIF / TC2 / JSON lift export,P2,done,src/pipeline/export-loom.js,Export file reloads to identical draft bits,L2-03,export-loom.js JSON lift + WIF writer; round-trip reload identical draft,export-wif.js + /api/export/wif + UI WIF button
L3-01,appearance,Shared construction entrypoint,FabricGen appearance layer,One materialize path for all tools,done,constructTapestry,—,P0,done,src/pipeline/construct.js,Photo and Generate both call constructTapestry,,—,
L3-02,appearance,Weave aesthetic modes,Fabric render lit.;Albers tactility,"flat,tile,ribbon,cord,handloom",done,WEAVE_MODES in weave.js,Optional fiber noise / specular yarn later,P0,done,src/pipeline/render/weave.js,Modes differ >1% pixels; deterministic,,—,Not FabricGen code
L3-03,appearance,Tightness (sett / packing),Albers open vs packed,Inter-yarn gap control,done,tightness knob,—,P0,done,src/pipeline/render/weave.js,Looser mean luminance shifts vs packed,,—,
